tag,parent,series,family,precision,features,features_zh,sections,#,confidence,basis
ARGB,,CH32X305,CH32X315,part,Cascadable Addressable RGB (ARGB),可级联可寻址RGB（ARGB）,1.4.20,#,confirmed,features(CH32X315DS0.PDF)
ARGB,,CH32X315,CH32X315,part,Cascadable Addressable RGB (ARGB),可级联可寻址RGB（ARGB）,1.4.20,#,confirmed,features(CH32X315DS0.PDF)
CAN,,CH32H415,CH32H417,part,Controller Area Network (CAN),控制器区域网络（CAN）,1.4.28,#,confirmed,features(CH32H417DS0.PDF)
CAN,,CH32H416,CH32H417,part,Controller Area Network (CAN),控制器区域网络（CAN）,1.4.28,#,confirmed,features(CH32H417DS0.PDF)
CAN,,CH32H417,CH32H417,part,Controller Area Network (CAN),控制器区域网络（CAN）,1.4.28,#,confirmed,features(CH32H417DS0.PDF)
CAN,,CH32L103,CH32L103,part,Controller Area Network (CAN),控制器区域网络（CAN）,1.4.19,#,confirmed,features(CH32L103DS0.PDF)
CAN,,CH32M103,CH32L103,part,Controller Area Network (CAN),控制器区域网络（CAN）,1.4.19,#,confirmed,features(CH32L103DS0.PDF)
CAN,,CH32V203,CH32V20x,part,Controller Area Network (CAN),控制器区域网络（CAN）,1.4.20;2.5.18,#,confirmed,features(CH32V203DS0.PDF)+features(CH32V205DS0.PDF)
CAN,,CH32V205,CH32V205,part,Controller Area Network (CAN),控制器区域网络（CAN）,1.4.20,#,confirmed,features(CH32V205DS0.PDF)
CAN,,CH32V208,CH32V20x,part,Controller Area Network (CAN),,2.5.15.4,#,reference,features(CH32V208DS0.PDF)
CAN,,CH32V303,CH32V307,part,Controller Area Network (CAN),控制器区域网络（CAN）,2.5.20,#,confirmed,features(CH32V20x_30xDS0.PDF)
